next-deadline,ID,site1,autoID2,site2,site3,autoID3,site4,autoID4,site5,autoID5,Submittal Frequency,tasks,Worksheets,Performanc Frequency,Responsible Party1,Responsible Party2,Count of autoID1
"Friday, September 21, 2018",103,5900 westpark,1103,ne-service-center,se-service-center,1103,nw-service-center,1103,sw-service-center,1103,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, September 21, 2018",490,5900 westpark,1490,ne-service-center,se-service-center,1490,nw-service-center,1490,sw-service-center,1490,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, September 21, 2018",904,5900 westpark,1904,ne-service-center,se-service-center,1904,nw-service-center,1904,sw-service-center,1904,Quarterly,Quarterly Truck Wash,(blank),Quarterly,Q Environmental,to be determined,1
"Thursday, September 27, 2018",773,5900 westpark,1773,ne-service-center,se-service-center,1773,nw-service-center,1773,sw-service-center,1773,Quarterly,Quarterly Periodic Inspection,13,Quarterly,Project Manager,Chief of Staff,1
"Friday, September 28, 2018",104,5900 westpark,1104,ne-service-center,se-service-center,1104,nw-service-center,1104,sw-service-center,1104,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, September 28, 2018",491,5900 westpark,1491,ne-service-center,se-service-center,1491,nw-service-center,1491,sw-service-center,1491,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Saturday, September 29, 2018",816,5900 westpark,1816,ne-service-center,se-service-center,1816,nw-service-center,1816,sw-service-center,1816,Monthly,Oil Water Separator Maintenance,none,Monthly,Q Environmental,to be determined,1
"Sunday, September 30, 2018",372,5900 westpark,1372,ne-service-center,se-service-center,1372,nw-service-center,1372,sw-service-center,1372,Quarterly,Visual Monitoring,15,Quarterly,Yard Man,onsite DAD,1
"Friday, October 05, 2018",105,5900 westpark,1105,ne-service-center,se-service-center,1105,nw-service-center,1105,sw-service-center,1105,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, October 05, 2018",492,5900 westpark,1492,ne-service-center,se-service-center,1492,nw-service-center,1492,sw-service-center,1492,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, October 12, 2018",106,5900 westpark,1106,ne-service-center,se-service-center,1106,nw-service-center,1106,sw-service-center,1106,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, October 12, 2018",493,5900 westpark,1493,ne-service-center,se-service-center,1493,nw-service-center,1493,sw-service-center,1493,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, October 19, 2018",107,5900 westpark,1107,ne-service-center,se-service-center,1107,nw-service-center,1107,sw-service-center,1107,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, October 19, 2018",494,5900 westpark,1494,ne-service-center,se-service-center,1494,nw-service-center,1494,sw-service-center,1494,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, October 26, 2018",108,5900 westpark,1108,ne-service-center,se-service-center,1108,nw-service-center,1108,sw-service-center,1108,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, October 26, 2018",495,5900 westpark,1495,ne-service-center,se-service-center,1495,nw-service-center,1495,sw-service-center,1495,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Wednesday, October 31, 2018",817,5900 westpark,1817,ne-service-center,se-service-center,1817,nw-service-center,1817,sw-service-center,1817,Monthly,Oil Water Separator Maintenance,none,Monthly,Q Environmental,to be determined,1
"Friday, November 02, 2018",109,5900 westpark,1109,ne-service-center,se-service-center,1109,nw-service-center,1109,sw-service-center,1109,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, November 02, 2018",496,5900 westpark,1496,ne-service-center,se-service-center,1496,nw-service-center,1496,sw-service-center,1496,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, November 09, 2018",110,5900 westpark,1110,ne-service-center,se-service-center,1110,nw-service-center,1110,sw-service-center,1110,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, November 09, 2018",497,5900 westpark,1497,ne-service-center,se-service-center,1497,nw-service-center,1497,sw-service-center,1497,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, November 16, 2018",111,5900 westpark,1111,ne-service-center,se-service-center,1111,nw-service-center,1111,sw-service-center,1111,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, November 16, 2018",498,5900 westpark,1498,ne-service-center,se-service-center,1498,nw-service-center,1498,sw-service-center,1498,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, November 23, 2018",112,5900 westpark,1112,ne-service-center,se-service-center,1112,nw-service-center,1112,sw-service-center,1112,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, November 23, 2018",499,5900 westpark,1499,ne-service-center,se-service-center,1499,nw-service-center,1499,sw-service-center,1499,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, November 30, 2018",113,5900 westpark,1113,ne-service-center,se-service-center,1113,nw-service-center,1113,sw-service-center,1113,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, November 30, 2018",500,5900 westpark,1500,ne-service-center,se-service-center,1500,nw-service-center,1500,sw-service-center,1500,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, November 30, 2018",818,5900 westpark,1818,ne-service-center,se-service-center,1818,nw-service-center,1818,sw-service-center,1818,Monthly,Oil Water Separator Maintenance,none,Monthly,Q Environmental,to be determined,1
"Friday, December 07, 2018",114,5900 westpark,1114,ne-service-center,se-service-center,1114,nw-service-center,1114,sw-service-center,1114,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, December 07, 2018",501,5900 westpark,1501,ne-service-center,se-service-center,1501,nw-service-center,1501,sw-service-center,1501,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, December 14, 2018",115,5900 westpark,1115,ne-service-center,se-service-center,1115,nw-service-center,1115,sw-service-center,1115,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, December 14, 2018",502,5900 westpark,1502,ne-service-center,se-service-center,1502,nw-service-center,1502,sw-service-center,1502,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Thursday, December 20, 2018",905,5900 westpark,1905,ne-service-center,se-service-center,1905,nw-service-center,1905,sw-service-center,1905,Quarterly,Quarterly Truck Wash,(blank),Quarterly,Q Environmental,to be determined,1
"Friday, December 21, 2018",116,5900 westpark,1116,ne-service-center,se-service-center,1116,nw-service-center,1116,sw-service-center,1116,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, December 21, 2018",503,5900 westpark,1503,ne-service-center,se-service-center,1503,nw-service-center,1503,sw-service-center,1503,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Wednesday, December 26, 2018",774,5900 westpark,1774,ne-service-center,se-service-center,1774,nw-service-center,1774,sw-service-center,1774,Quarterly,Quarterly Periodic Inspection,13,Quarterly,Project Manager,Chief of Staff,1
"Wednesday, December 26, 2018",934,5900 westpark,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),Semi-annual,Benchmark Monitoring,15-1,Semi-annual,GSD vendor,GSD vendor,1
"Friday, December 28, 2018",117,5900 westpark,1117,ne-service-center,se-service-center,1117,nw-service-center,1117,sw-service-center,1117,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, December 28, 2018",504,5900 westpark,1504,ne-service-center,se-service-center,1504,nw-service-center,1504,sw-service-center,1504,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, December 28, 2018",819,5900 westpark,1819,ne-service-center,se-service-center,1819,nw-service-center,1819,sw-service-center,1819,Monthly,Oil Water Separator Maintenance,none,Monthly,Q Environmental,to be determined,1
"Sunday, December 30, 2018",373,5900 westpark,1373,ne-service-center,se-service-center,1373,nw-service-center,1373,sw-service-center,1373,Quarterly,Visual Monitoring,15,Quarterly,Yard Man,onsite DAD,1
"Friday, January 04, 2019",118,5900 westpark,1118,ne-service-center,se-service-center,1118,nw-service-center,1118,sw-service-center,1118,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, January 04, 2019",505,5900 westpark,1505,ne-service-center,se-service-center,1505,nw-service-center,1505,sw-service-center,1505,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, January 11, 2019",119,5900 westpark,1119,ne-service-center,se-service-center,1119,nw-service-center,1119,sw-service-center,1119,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, January 11, 2019",506,5900 westpark,1506,ne-service-center,se-service-center,1506,nw-service-center,1506,sw-service-center,1506,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, January 18, 2019",120,5900 westpark,1120,ne-service-center,se-service-center,1120,nw-service-center,1120,sw-service-center,1120,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, January 18, 2019",507,5900 westpark,1507,ne-service-center,se-service-center,1507,nw-service-center,1507,sw-service-center,1507,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, January 25, 2019",121,5900 westpark,1121,ne-service-center,se-service-center,1121,nw-service-center,1121,sw-service-center,1121,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, January 25, 2019",508,5900 westpark,1508,ne-service-center,se-service-center,1508,nw-service-center,1508,sw-service-center,1508,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, January 25, 2019",820,5900 westpark,1820,ne-service-center,se-service-center,1820,nw-service-center,1820,sw-service-center,1820,Monthly,Oil Water Separator Maintenance,none,Monthly,Q Environmental,to be determined,1
"Friday, February 01, 2019",122,5900 westpark,1122,ne-service-center,se-service-center,1122,nw-service-center,1122,sw-service-center,1122,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, February 01, 2019",509,5900 westpark,1509,ne-service-center,se-service-center,1509,nw-service-center,1509,sw-service-center,1509,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, February 08, 2019",123,5900 westpark,1123,ne-service-center,se-service-center,1123,nw-service-center,1123,sw-service-center,1123,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, February 08, 2019",510,5900 westpark,1510,ne-service-center,se-service-center,1510,nw-service-center,1510,sw-service-center,1510,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, February 15, 2019",124,5900 westpark,1124,ne-service-center,se-service-center,1124,nw-service-center,1124,sw-service-center,1124,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, February 15, 2019",511,5900 westpark,1511,ne-service-center,se-service-center,1511,nw-service-center,1511,sw-service-center,1511,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, February 22, 2019",125,5900 westpark,1125,ne-service-center,se-service-center,1125,nw-service-center,1125,sw-service-center,1125,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, February 22, 2019",512,5900 westpark,1512,ne-service-center,se-service-center,1512,nw-service-center,1512,sw-service-center,1512,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Sunday, February 24, 2019",821,5900 westpark,1821,ne-service-center,se-service-center,1821,nw-service-center,1821,sw-service-center,1821,Monthly,Oil Water Separator Maintenance,none,Monthly,Q Environmental,to be determined,1
"Friday, March 01, 2019",126,5900 westpark,1126,ne-service-center,se-service-center,1126,nw-service-center,1126,sw-service-center,1126,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, March 01, 2019",513,5900 westpark,1513,ne-service-center,se-service-center,1513,nw-service-center,1513,sw-service-center,1513,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, March 08, 2019",127,5900 westpark,1127,ne-service-center,se-service-center,1127,nw-service-center,1127,sw-service-center,1127,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, March 08, 2019",514,5900 westpark,1514,ne-service-center,se-service-center,1514,nw-service-center,1514,sw-service-center,1514,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, March 15, 2019",128,5900 westpark,1128,ne-service-center,se-service-center,1128,nw-service-center,1128,sw-service-center,1128,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, March 15, 2019",515,5900 westpark,1515,ne-service-center,se-service-center,1515,nw-service-center,1515,sw-service-center,1515,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Wednesday, March 20, 2019",906,5900 westpark,1906,ne-service-center,se-service-center,1906,nw-service-center,1906,sw-service-center,1906,Quarterly,Quarterly Truck Wash,(blank),Quarterly,Q Environmental,to be determined,1
"Friday, March 22, 2019",129,5900 westpark,1129,ne-service-center,se-service-center,1129,nw-service-center,1129,sw-service-center,1129,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, March 22, 2019",516,5900 westpark,1516,ne-service-center,se-service-center,1516,nw-service-center,1516,sw-service-center,1516,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Thursday, March 28, 2019",775,5900 westpark,1775,ne-service-center,se-service-center,1775,nw-service-center,1775,sw-service-center,1775,Quarterly,Quarterly Periodic Inspection,13,Quarterly,Project Manager,Chief of Staff,1
"Friday, March 29, 2019",130,5900 westpark,1130,ne-service-center,se-service-center,1130,nw-service-center,1130,sw-service-center,1130,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, March 29, 2019",517,5900 westpark,1517,ne-service-center,se-service-center,1517,nw-service-center,1517,sw-service-center,1517,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, March 29, 2019",822,5900 westpark,1822,ne-service-center,se-service-center,1822,nw-service-center,1822,sw-service-center,1822,Monthly,Oil Water Separator Maintenance,none,Monthly,Q Environmental,to be determined,1
"Saturday, March 30, 2019",374,5900 westpark,1374,ne-service-center,se-service-center,1374,nw-service-center,1374,sw-service-center,1374,Quarterly,Visual Monitoring,15,Quarterly,Yard Man,onsite DAD,1
"Friday, April 05, 2019",131,5900 westpark,1131,ne-service-center,se-service-center,1131,nw-service-center,1131,sw-service-center,1131,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, April 05, 2019",518,5900 westpark,1518,ne-service-center,se-service-center,1518,nw-service-center,1518,sw-service-center,1518,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, April 12, 2019",132,5900 westpark,1132,ne-service-center,se-service-center,1132,nw-service-center,1132,sw-service-center,1132,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, April 12, 2019",519,5900 westpark,1519,ne-service-center,se-service-center,1519,nw-service-center,1519,sw-service-center,1519,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, April 19, 2019",133,5900 westpark,1133,ne-service-center,se-service-center,1133,nw-service-center,1133,sw-service-center,1133,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, April 19, 2019",520,5900 westpark,1520,ne-service-center,se-service-center,1520,nw-service-center,1520,sw-service-center,1520,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, April 26, 2019",134,5900 westpark,1134,ne-service-center,se-service-center,1134,nw-service-center,1134,sw-service-center,1134,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, April 26, 2019",521,5900 westpark,1521,ne-service-center,se-service-center,1521,nw-service-center,1521,sw-service-center,1521,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Tuesday, April 30, 2019",823,5900 westpark,1823,ne-service-center,se-service-center,1823,nw-service-center,1823,sw-service-center,1823,Monthly,Oil Water Separator Maintenance,none,Monthly,Q Environmental,to be determined,1
"Friday, May 03, 2019",135,5900 westpark,1135,ne-service-center,se-service-center,1135,nw-service-center,1135,sw-service-center,1135,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, May 03, 2019",522,5900 westpark,1522,ne-service-center,se-service-center,1522,nw-service-center,1522,sw-service-center,1522,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, May 10, 2019",136,5900 westpark,1136,ne-service-center,se-service-center,1136,nw-service-center,1136,sw-service-center,1136,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, May 10, 2019",523,5900 westpark,1523,ne-service-center,se-service-center,1523,nw-service-center,1523,sw-service-center,1523,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, May 17, 2019",137,5900 westpark,1137,ne-service-center,se-service-center,1137,nw-service-center,1137,sw-service-center,1137,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, May 17, 2019",524,5900 westpark,1524,ne-service-center,se-service-center,1524,nw-service-center,1524,sw-service-center,1524,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, May 24, 2019",138,5900 westpark,1138,ne-service-center,se-service-center,1138,nw-service-center,1138,sw-service-center,1138,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, May 24, 2019",525,5900 westpark,1525,ne-service-center,se-service-center,1525,nw-service-center,1525,sw-service-center,1525,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, May 31, 2019",139,5900 westpark,1139,ne-service-center,se-service-center,1139,nw-service-center,1139,sw-service-center,1139,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, May 31, 2019",526,5900 westpark,1526,ne-service-center,se-service-center,1526,nw-service-center,1526,sw-service-center,1526,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, May 31, 2019",824,5900 westpark,1824,ne-service-center,se-service-center,1824,nw-service-center,1824,sw-service-center,1824,Monthly,Oil Water Separator Maintenance,none,Monthly,Q Environmental,to be determined,1
"Friday, June 07, 2019",140,5900 westpark,1140,ne-service-center,se-service-center,1140,nw-service-center,1140,sw-service-center,1140,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, June 07, 2019",527,5900 westpark,1527,ne-service-center,se-service-center,1527,nw-service-center,1527,sw-service-center,1527,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, June 14, 2019",141,5900 westpark,1141,ne-service-center,se-service-center,1141,nw-service-center,1141,sw-service-center,1141,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, June 14, 2019",528,5900 westpark,1528,ne-service-center,se-service-center,1528,nw-service-center,1528,sw-service-center,1528,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Tuesday, June 18, 2019",907,5900 westpark,1907,ne-service-center,se-service-center,1907,nw-service-center,1907,sw-service-center,1907,Quarterly,Quarterly Truck Wash,(blank),Quarterly,Q Environmental,to be determined,1
"Friday, June 21, 2019",142,5900 westpark,1142,ne-service-center,se-service-center,1142,nw-service-center,1142,sw-service-center,1142,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, June 21, 2019",529,5900 westpark,1529,ne-service-center,se-service-center,1529,nw-service-center,1529,sw-service-center,1529,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, June 28, 2019",143,5900 westpark,1143,ne-service-center,se-service-center,1143,nw-service-center,1143,sw-service-center,1143,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, June 28, 2019",530,5900 westpark,1530,ne-service-center,se-service-center,1530,nw-service-center,1530,sw-service-center,1530,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, June 28, 2019",776,5900 westpark,1776,ne-service-center,se-service-center,1776,nw-service-center,1776,sw-service-center,1776,Quarterly,Quarterly Periodic Inspection,13,Quarterly,Project Manager,Chief of Staff,1
"Friday, June 28, 2019",825,5900 westpark,1825,ne-service-center,se-service-center,1825,nw-service-center,1825,sw-service-center,1825,Monthly,Oil Water Separator Maintenance,none,Monthly,Q Environmental,to be determined,1
"Saturday, June 29, 2019",935,5900 westpark,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),Semi-annual,Benchmark Monitoring,15-1,Semi-annual,GSD vendor,GSD vendor,1
"Sunday, June 30, 2019",375,5900 westpark,1375,ne-service-center,se-service-center,1375,nw-service-center,1375,sw-service-center,1375,Quarterly,Visual Monitoring,15,Quarterly,Yard Man,onsite DAD,1
"Sunday, June 30, 2019",883,5900 westpark,1883,ne-service-center,se-service-center,1883,nw-service-center,1883,sw-service-center,1883,Annual,Annual Site Inspection,"16,16-1, 16-2",Annual,All SWP3 team members,All SWP3 team members,1
"Sunday, June 30, 2019",889,5900 westpark,1889,ne-service-center,se-service-center,1889,nw-service-center,1889,sw-service-center,1889,Annual,Annual Metal Monitoring,15-1,Annual,GSD vendor,GSD vendor,1
"Friday, July 05, 2019",144,5900 westpark,1144,ne-service-center,se-service-center,1144,nw-service-center,1144,sw-service-center,1144,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, July 05, 2019",531,5900 westpark,1531,ne-service-center,se-service-center,1531,nw-service-center,1531,sw-service-center,1531,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, July 12, 2019",145,5900 westpark,1145,ne-service-center,se-service-center,1145,nw-service-center,1145,sw-service-center,1145,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, July 12, 2019",532,5900 westpark,1532,ne-service-center,se-service-center,1532,nw-service-center,1532,sw-service-center,1532,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, July 19, 2019",146,5900 westpark,1146,ne-service-center,se-service-center,1146,nw-service-center,1146,sw-service-center,1146,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, July 19, 2019",533,5900 westpark,1533,ne-service-center,se-service-center,1533,nw-service-center,1533,sw-service-center,1533,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, July 26, 2019",147,5900 westpark,1147,ne-service-center,se-service-center,1147,nw-service-center,1147,sw-service-center,1147,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, July 26, 2019",534,5900 westpark,1534,ne-service-center,se-service-center,1534,nw-service-center,1534,sw-service-center,1534,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Tuesday, July 30, 2019",826,5900 westpark,1826,ne-service-center,se-service-center,1826,nw-service-center,1826,sw-service-center,1826,Monthly,Oil Water Separator Maintenance,none,Monthly,Q Environmental,to be determined,1
"Friday, August 02, 2019",148,5900 westpark,1148,ne-service-center,se-service-center,1148,nw-service-center,1148,sw-service-center,1148,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, August 02, 2019",535,5900 westpark,1535,ne-service-center,se-service-center,1535,nw-service-center,1535,sw-service-center,1535,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, August 09, 2019",149,5900 westpark,1149,ne-service-center,se-service-center,1149,nw-service-center,1149,sw-service-center,1149,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, August 09, 2019",536,5900 westpark,1536,ne-service-center,se-service-center,1536,nw-service-center,1536,sw-service-center,1536,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, August 16, 2019",150,5900 westpark,1150,ne-service-center,se-service-center,1150,nw-service-center,1150,sw-service-center,1150,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, August 16, 2019",537,5900 westpark,1537,ne-service-center,se-service-center,1537,nw-service-center,1537,sw-service-center,1537,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, August 23, 2019",151,5900 westpark,1151,ne-service-center,se-service-center,1151,nw-service-center,1151,sw-service-center,1151,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, August 23, 2019",538,5900 westpark,1538,ne-service-center,se-service-center,1538,nw-service-center,1538,sw-service-center,1538,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, August 30, 2019",152,5900 westpark,1152,ne-service-center,se-service-center,1152,nw-service-center,1152,sw-service-center,1152,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, August 30, 2019",539,5900 westpark,1539,ne-service-center,se-service-center,1539,nw-service-center,1539,sw-service-center,1539,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, August 30, 2019",827,5900 westpark,1827,ne-service-center,se-service-center,1827,nw-service-center,1827,sw-service-center,1827,Monthly,Oil Water Separator Maintenance,none,Monthly,Q Environmental,to be determined,1
"Friday, September 06, 2019",153,5900 westpark,1153,ne-service-center,se-service-center,1153,nw-service-center,1153,sw-service-center,1153,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, September 06, 2019",540,5900 westpark,1540,ne-service-center,se-service-center,1540,nw-service-center,1540,sw-service-center,1540,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, September 13, 2019",154,5900 westpark,1154,ne-service-center,se-service-center,1154,nw-service-center,1154,sw-service-center,1154,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, September 13, 2019",541,5900 westpark,1541,ne-service-center,se-service-center,1541,nw-service-center,1541,sw-service-center,1541,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Monday, September 16, 2019",908,5900 westpark,1908,ne-service-center,se-service-center,1908,nw-service-center,1908,sw-service-center,1908,Quarterly,Quarterly Truck Wash,(blank),Quarterly,Q Environmental,to be determined,1
"Friday, September 20, 2019",155,5900 westpark,1155,ne-service-center,se-service-center,1155,nw-service-center,1155,sw-service-center,1155,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, September 20, 2019",542,5900 westpark,1542,ne-service-center,se-service-center,1542,nw-service-center,1542,sw-service-center,1542,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Thursday, September 26, 2019",777,5900 westpark,1777,ne-service-center,se-service-center,1777,nw-service-center,1777,sw-service-center,1777,Quarterly,Quarterly Periodic Inspection,13,Quarterly,Project Manager,Chief of Staff,1
"Friday, September 27, 2019",156,5900 westpark,1156,ne-service-center,se-service-center,1156,nw-service-center,1156,sw-service-center,1156,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
